,SKU,Product,Customer,Location,Status,CategoryDear,CategorySale,OnHand,Quantity,Sale,Unit,StockValue
13685,736040545514,Terralta Reposado 750ml,Customer Square 3,Oak Hill,ACTIVE,Tequila,,4.0,,,69.99,279.96
13693,27312731,Teutonic Jazz Odyssey 750ml,Customer Square 3,Oak Hill,ACTIVE,White,,3.0,,,18.99,56.97
13699,95378543687,Teutonic Muscat 750ml,Customer Square 3,Oak Hill,ACTIVE,White,,12.0,,,18.990000000000002,227.88000000000002
13757,9781646431199,Texas Whiskey,Customer Square 3,Oak Hill,ACTIVE,Books,,3.0,,,35.0,105.0
13772,9781984823571,The Craft of the Cocktail Revised Edition,Customer Square 3,Oak Hill,ACTIVE,Books,,3.0,,,35.0,105.0
13782,9781646430987,The Encyclopedia of Cocktails,Customer Square 3,Oak Hill,ACTIVE,Books,,3.0,,,35.0,105.0
13808,9780143124801,The Waldorf Astoria,Customer Square 3,Oak Hill,ACTIVE,Books,,3.0,,,25.0,75.0
13811,851075002013,The Whole Shebang NV Red 750ml,Customer Square 3,Oak Hill,ACTIVE,Red New World,,4.0,,,18.990000000000002,75.96000000000001
13814,857361007229,The Wiseman Bourbon 750ml,Customer Square 3,Oak Hill,ACTIVE,Whiskey Bourbon/American,,6.0,,,54.99,329.94
13836,5200363506125,Thymiopoulos Young Vines 2017 750ml,Customer Square 3,Oak Hill,ACTIVE,Red Old World,,3.0,,,,
13910,8034108030937,Tonnino Grillo 750ml,Customer Square 3,Oak Hill,ACTIVE,White,,4.0,,,12.99,51.96
13937,747301018517,Town Branch Bourbon 90p 750ml,Customer Square 3,Oak Hill,ACTIVE,Whiskey Bourbon/American,,3.0,,,,
13940,747301022712,Town Branch Rye 100p 750ml,Customer Square 3,Oak Hill,ACTIVE,Whiskey Rye,,3.0,,,49.99,149.97
13943,747301036801,Town Branch Single Malt 7y 750ml,Customer Square 3,Oak Hill,ACTIVE,Whiskey American Single Malt,,3.0,,,,
13946,747301044271,Town Branch True Cask 109.3 750ml,Customer Square 3,Oak Hill,ACTIVE,Whiskey Bourbon/American,,3.0,,,,
13955,084279971124,Trader Vic's Kona Coffee liqueur 750ml,Customer Square 3,Oak Hill,ACTIVE,Liqueur,,4.0,,,17.99,71.96
13958,084279970936,Trader Vic's Macademia Nut 750ml,Customer Square 3,Oak Hill,ACTIVE,Liqueur,,6.0,,,26.99,161.94
13991,898185001116,Treaty Oak Red Handed 750ml,Customer Square 3,Oak Hill,ACTIVE,Whiskey Bourbon/American,,5.0,,,37.99,189.95000000000002
14083,088004025984,Tuaca 750ml,Customer Square 3,Oak Hill,ACTIVE,Liqueur,,3.0,,,25.99,77.97
14269,7503018720036,Varan Coffee Mezcal Liqueur 750ml,Customer Square 3,Oak Hill,ACTIVE,Liqueur,,4.0,,,38.99,155.96
14291,3760272570065,Velier Forsythes WP 2005 750ml,Customer Square 3,Oak Hill,ACTIVE,Rum,,4.0,,,106.99,427.96
14329,728028185218,Vergnano Arancino Blood Orange Liqueur 750ml,Customer Square 3,Oak Hill,ACTIVE,Liqueur,,3.0,,,,
14347,5600260243244,Ve-Ve Vinho Verde 750ml,Customer Square 3,Oak Hill,ACTIVE,White,,6.0,,,12.99,77.94
14393,28628628622,Vinca Minor Chardonnay 750ml,Customer Square 3,Oak Hill,ACTIVE,White,,4.0,,,32.99,131.96
14399,69869869877,Vinca Minor Red Blend 750ml,Customer Square 3,Oak Hill,ACTIVE,Red New World,,4.0,,,26.990000000000002,107.96000000000001
14433,123610,Viski Citrus Grater,Customer Square 3,Oak Hill,ACTIVE,Bar Tools,,6.0,,,13.0,78.0
14458,321456,Viski Japanese Jigger .75-1.25oz Gold,Customer Square 3,Oak Hill,ACTIVE,Bar Tools,,3.0,,,14.0,42.0
14479,123623,Viski Leopold Jigger Gold,Customer Square 3,Oak Hill,ACTIVE,Bar Tools,,9.0,,,27.0,243.0
14485,876718043710,Viski Lewis Bag and Mallet,Customer Square 3,Oak Hill,ACTIVE,Bar Tools,,11.0,,,24.0,264.0
14488,876718043598,Viski Mesh Cocktail Strainer,Customer Square 3,Oak Hill,ACTIVE,Bar Tools,,4.0,,,,
14503,123629,Viski Teardrop Barspoon 40cm Copper,Customer Square 3,Oak Hill,ACTIVE,Bar Tools,,12.0,,,29.0,348.0
14639,752541007559,West 32 Soju Reserve 375ml,Customer Square 3,Oak Hill,ACTIVE,Shochu,,4.0,,,17.99,71.96
14709,9781568365756,Whisky Japan,Customer Square 3,Oak Hill,ACTIVE,Books,,4.0,,,34.949999999999996,139.79999999999998
14881,5060730060007,Wilfreds N/A Aperitif 500ml,Customer Square 3,Oak Hill,ACTIVE,Non Alcoholic Beverage,,4.0,,,39.99,159.96
14901,680203119350,Willett Pot Still Reserve 1.75L,Customer Square 3,Oak Hill,ACTIVE,Whiskey Bourbon/American,,4.0,,,89.99000000000001,359.96000000000004
15067,8697530205641,Yeni Raki 750ml,Customer Square 3,Oak Hill,ACTIVE,Liqueur,,4.0,,,26.99,107.96
15075,7503005800161,YooWe Bacanora 750ml,Customer Square 3,Oak Hill,ACTIVE,Bacanora,,5.0,,,64.99,324.95
15097,890004001017,Yzaguirre Rojo 1L,Customer Square 3,Oak Hill,ACTIVE,Fortified,,4.0,,,19.990000000000002,79.96000000000001
