Product,Customer,Count,Mean,Std,Min,Max,25,50,75,Action,ProductSKU,MinimumBeforeReorder,ReorderQuantity
Absinthe Sugar Cubes (20pack),Customer Square 1,3,0.07692307692307693,0.33085866411702414,0,2,0.0,0.0,0.0,Create/Update,859868004619,20,80
Absinthe Sugar Cubes (20pack),Customer Square 2,9,0.19230769230769232,0.44021242854844606,0,2,0.0,0.0,0.0,Create/Update,859868004619,20,80
Absinthe Sugar Cubes (20pack),Customer Square 3,9,0.21153846153846154,0.49367298665359366,0,2,0.0,0.0,0.0,Create/Update,859868004619,20,80
Absinthe Sugar Cubes (2pack),Customer Square 1,25,3.3461538461538463,5.094811143871378,0,19,0.0,0.0,5.0,Create/Update,1234500000011,100,1000
Absinthe Sugar Cubes (2pack),Customer Square 2,20,2.9423076923076925,5.093032425769625,0,23,0.0,0.0,4.25,Create/Update,1234500000011,100,1000
Absinthe Sugar Cubes (2pack),Customer Square 3,2,0.11538461538461539,0.576923076923077,0,3,0.0,0.0,0.0,Create/Update,1234500000011,100,1000
Absolut Citron 1L,Customer Square 2,4,0.09615384615384616,0.3540760122984994,0,2,0.0,0.0,0.0,Create/Update,835229001404,2,12
Absolut Elyx 750ml,Customer Square 1,7,0.1346153846153846,0.341312295178824,0,1,0.0,0.0,0.0,Create/Update,835229000711,2,6
Absolut Elyx 750ml,Customer Square 2,0,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,835229000711,6,6
Absolut Elyx 750ml,Customer Square 3,0,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,835229000711,2,6
Absolut Pride 1L,Customer Square 2,1,0.019230769230769232,0.13733516208736252,0,1,0.0,0.0,0.0,Create/Update,835229010116,6,12
Absolut Vanilla 1L,Customer Square 2,8,0.19230769230769232,0.4819216956208333,0,2,0.0,0.0,0.0,Create/Update,835229006409,4,12
Absolut Vodka 200ml,Customer Square 1,11,0.2692307692307692,0.6538461538461537,0,4,0.0,0.0,0.0,Create/Update,835229000100,6,48
Absolut Vodka 200ml,Customer Square 2,3,0.057692307692307696,0.23316068563427197,0,1,0.0,0.0,0.0,Create/Update,835229000100,48,48
Absolut Vodka 200ml,Customer Square 3,8,0.25,0.6467373738769322,0,3,0.0,0.0,0.0,Create/Update,835229000100,6,48
Absolut Vodka 375ml,Customer Square 1,6,0.15384615384615385,0.455083060238432,0,2,0.0,0.0,0.0,Create/Update,835229000209,6,48
Absolut Vodka 375ml,Customer Square 2,8,0.25,0.6162853984216179,0,2,0.0,0.0,0.0,Create/Update,835229000209,48,48
Absolut Vodka 375ml,Customer Square 3,14,0.40384615384615385,0.7405719043834502,0,3,0.0,0.0,1.0,Create/Update,835229000209,2,48
Absolut Vodka 750ml,Customer Square 1,11,0.23076923076923078,0.4647325374459451,0,2,0.0,0.0,0.0,Create/Update,835229000308,6,48
Absolut Vodka 750ml,Customer Square 2,3,0.057692307692307696,0.23316068563427197,0,1,0.0,0.0,0.0,Create/Update,835229000308,48,48
Absolut Vodka 750ml,Customer Square 3,6,0.1346153846153846,0.3936440286626677,0,2,0.0,0.0,0.0,Create/Update,835229000308,2,12
Achard Vincent Clairette Brut 750ml,Customer Square 1,18,0.5192307692307693,0.8201872350821586,0,3,0.0,0.0,1.0,Create/Update,761503633026,2,6
Achard Vincent Clairette Brut 750ml,Customer Square 2,25,1.0384615384615385,1.4539275516489079,0,6,0.0,0.0,1.25,Create/Update,761503633026,2,6
Achard Vincent Clairette Brut 750ml,Customer Square 3,8,0.23076923076923078,0.6683902768070294,0,4,0.0,0.0,0.0,Create/Update,761503633026,3,6
Admiral Rodney Formidable 750ml,Customer Square 1,1,0.019230769230769232,0.13733516208736252,0,1,0.0,0.0,0.0,Create/Update,786992212248,0,1
Admiral Rodney Formidable 750ml,Customer Square 2,1,0.019230769230769232,0.13733516208736252,0,1,0.0,0.0,0.0,Create/Update,786992212248,0,1
Admiral Rodney Formidable 750ml,Customer Square 3,0,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,786992212248,0,1
Admiral Rodney Officers Release 1 750ml,Customer Square 1,2,0.038461538461538464,0.1923076923076923,0,1,0.0,0.0,0.0,Create/Update,786992214914,0,1
Admiral Rodney Officers Release 1 750ml,Customer Square 2,2,0.038461538461538464,0.1923076923076923,0,1,0.0,0.0,0.0,Create/Update,786992214914,0,1
Admiral Rodney Officers Release 1 750ml,Customer Square 3,0,0.0,0.0,0,0,0.0,0.0,0.0,Create/Update,786992214914,0,1
