Product,Customer,Count,Mean,Std,Min,Max,25,50,75,Action,ProductSKU,MinimumBeforeReorder,ReorderQuantity,Unit,RoundedMean,DiffMean,Diff75,MeanSavings,75Savings
Cocchi Americano 750ml,Customer Square 3,52,13.826923076923077,5.625221889114699,2,28,9.75,13.0,18.0,Create/Update,8007117010061,3,6,,14.0,-11.0,-15.0,,
Cocchi Barolo Chinato 1L,Customer Square 3,26,0.9615384615384616,1.2083290824926929,0,6,0.0,0.5,2.0,Create/Update,8007117010115,1,3,,1.0,0.0,-1.0,,
Cocchi Barolo Chinato 500ml,Customer Square 3,13,0.5961538461538461,1.1479013523787223,0,5,0.0,0.0,0.25,Create/Update,8007117010078,1,2,,1.0,0.0,1.0,,
Cocchi Di Torino 750ml,Customer Square 3,51,32.80769230769231,17.86707162689818,0,78,20.0,29.5,44.5,Create/Update,8007117010108,3,6,,33.0,-30.0,-42.0,,
Cocchi Dopo Teatro Vermouth Amaro 500ml,Customer Square 3,2,0.038461538461538464,0.1923076923076923,0,1,0.0,0.0,0.0,Create/Update,8007117011495,2,4,,0.0,2.0,2.0,,
Cocchi Rosa 750ml,Customer Square 3,50,6.230769230769231,4.240896968872471,0,18,2.0,6.0,9.0,Create/Update,8007117010085,1,4,,6.0,-5.0,-8.0,,
Cocktail Kingdom Atomizer 50ml,Customer Square 3,3,0.09615384615384616,0.4047608688432535,0,2,0.0,0.0,0.0,Create/Update,791090529099,5,15,,0.0,5.0,5.0,,
Cocktail Kingdom Bitters Bottle 100ml Stainless,Customer Square 3,9,0.9230769230769231,2.525608486058769,0,12,0.0,0.0,0.0,Create/Update,791090529785,6,12,,1.0,5.0,6.0,,
Cocktail Kingdom Bitters Bottle 50ml,Customer Square 3,2,0.057692307692307696,0.30467268303374734,0,2,0.0,0.0,0.0,Create/Update,791090529723,6,12,,0.0,6.0,6.0,,
Cocktail Kingdom Channel Knife,Customer Square 3,1,0.019230769230769232,0.13733516208736252,0,1,0.0,0.0,0.0,Create/Update,123479,6,6,4.5,0.0,6.0,6.0,27.0,27.0
Cocktail Kingdom Coco Mesh Strainer Gold,Customer Square 3,1,0.038461538461538464,0.27467032417472503,0,2,0.0,0.0,0.0,Create/Update,791090529709,4,6,,0.0,4.0,4.0,,
Cocktail Kingdom Coco Mesh Strainer Stainless,Customer Square 3,6,0.23076923076923078,0.723649527777953,0,4,0.0,0.0,0.0,Create/Update,791090525770,6,6,,0.0,6.0,6.0,,
Cocktail Kingdom Ice Tray 2in,Customer Square 3,2,0.11538461538461539,0.576923076923077,0,3,0.0,0.0,0.0,Create/Update,791090525657,6,20,,0.0,6.0,6.0,,
Cocktail Kingdom Japanese Jigger .5-.75 oz Stainless,Customer Square 3,2,0.09615384615384616,0.49066733931434886,0,3,0.0,0.0,0.0,Create/Update,123492,8,15,28.5,0.0,8.0,8.0,228.0,228.0
Cocktail Kingdom Julep Strainer Copper,Customer Square 3,1,0.038461538461538464,0.27467032417472503,0,2,0.0,0.0,0.0,Create/Update,123496,6,6,32.5,0.0,6.0,6.0,195.0,195.0
Cocktail Kingdom Julep Strainer Stainless,Customer Square 3,3,0.1346153846153846,0.6210675100751979,0,4,0.0,0.0,0.0,Create/Update,123499,8,10,20.0,0.0,8.0,8.0,160.0,160.0
Cocktail Kingdom Lewis Bag,Customer Square 3,4,0.19230769230769232,0.6804540774213128,0,3,0.0,0.0,0.0,Create/Update,123500,5,10,12.0,0.0,5.0,5.0,60.0,60.0
Cocktail Kingdom Mixtin Beaker 625ml,Customer Square 3,2,0.038461538461538464,0.1923076923076923,0,1,0.0,0.0,0.0,Create/Update,791090532358,4,4,,0.0,4.0,4.0,,
Cocktail Kingdom Teardrop Barspoon 30cm Stainless,Customer Square 3,1,0.038461538461538464,0.27467032417472503,0,2,0.0,0.0,0.0,Create/Update,123511,6,12,29.0,0.0,6.0,6.0,174.0,174.0
Coco Lopez,Customer Square 3,40,35.32692307692308,32.812826498798245,0,153,1.75,26.0,48.0,Create/Update,071845098309,4,24,51.6,35.0,-31.0,-44.0,-1599.6000000000001,-2270.4
