Product,Customer,Category,OnHand
Bacardi Dragonberry 1L,Customer Square 1,Rum,0.0000
Bacardi Gold 750ml,Customer Square 1,Rum,0.0000
Bacardi Gold 750ml,Customer Square 2,Rum,0.0000
Bacardi Gran Reserva Diez 750ml,Customer Square 1,Rum,1.0000
Bacardi Gran Reserva Diez 750ml,Customer Square 3,Rum,1.0000
Bacardi Limitada 750ml,Customer Square 3,Rum,1.0000
Bacardi Limitada 750ml,Customer Square 2,Rum,1.0000
Bacardi Spiced Rum 750ml,Customer Square 1,Rum,0.0000
Bacardi Spiced Rum 750ml,Customer Square 3,Rum,0.0000
Bad Dog Fire and Damnation 4oz,Customer Square 1,Bitters,1.0000
Bad Dog Fire and Damnation 4oz,Customer Square 2,Bitters,0.0000
Bains Cape Mountain whisky 750ml,Customer Square 1,Whiskey South African,0.0000
Bakers Bourbon Single Barrel 750ml,Customer Square 1,Whiskey Bourbon/American,0.0000
Balcones Blue Corn Bourbon 750ml,Customer Square 1,Whiskey Bourbon/American,0.0000
Balcones Blue Corn Bourbon 750ml,Customer Square 2,Whiskey Bourbon/American,0.0000
Balcones FR.OAK 750ml,Customer Square 1,Whiskey American Single Malt,0.0000
Balcones FR.OAK 750ml,Customer Square 2,Whiskey American Single Malt,0.0000
Balcones Mirador 750ml,Customer Square 1,Whiskey American Single Malt,0.0000
Balcones Mirador 750ml,Customer Square 2,Whiskey American Single Malt,0.0000
Balcones Peated Single Malt 750ml,Customer Square 2,Whiskey American Single Malt,0.0000
Balcones Rumble Cask Reserve 750ml,Customer Square 1,Whiskey Bourbon/American,0.0000
Balcones Rumble Cask Reserve 750ml,Customer Square 2,Whiskey Bourbon/American,0.0000
Balcones Single Malt 50ml,Customer Square 3,Whiskey American Single Malt,0.0000
Balcones Texas  Single Malt *Shaker Barrel* 750ml,Customer Square 1,Whiskey American Single Malt,0.0000
Balcones Texas  Single Malt *Shaker Barrel* 750ml,Customer Square 3,Whiskey American Single Malt,0.0000
Balcones Texas Bock 750ml,Customer Square 1,Whiskey Bourbon/American,0.0000
Balcones Texas Bock 750ml,Customer Square 3,Whiskey Bourbon/American,0.0000
Balcones Texas Bock 750ml,Customer Square 2,Whiskey Bourbon/American,0.0000
Balcones Texas Rum 750ml,Customer Square 1,Rum,0.0000
Balcones Texas Rum 750ml,Customer Square 2,Rum,0.0000
Balcones Texas Single Malt *Texas Monthly* 750ml,Customer Square 2,Whiskey American Single Malt,6.0000
Balcones Texas Single Malt No 1 750ml,Customer Square 3,Whiskey American Single Malt,2.0000
Balcones True Blue *Sourced Barrel* #15165 750ml,Customer Square 2,Whiskey Bourbon/American,0.0000
Balcones True Blue Cask Strength 750ml,Customer Square 1,Whiskey Bourbon/American,0.0000
Balcones True Blue Cask Strength 750ml,Customer Square 2,Whiskey Bourbon/American,0.0000
Ballast Point Sculpin Bottles 6 Pack,Customer Square 1,Craft Beer,0.0000
Ballast Point Sculpin Bottles 6 Pack,Customer Square 2,Craft Beer,0.0000
Balvenie 12y Doublewood 200ml,Customer Square 2,Whiskey Scotch,3.0000
Balvenie 14y Week Of Peat 750ml,Customer Square 1,Whiskey Scotch,0.0000
Balvenie 17y Doublewood 750ml,Customer Square 3,Whiskey Scotch,0.0000
Balvenie 21y Portwood 750ml,Customer Square 3,Whiskey Scotch,1.0000
Balvenie 40y 750ml,Customer Square 2,Whiskey Scotch,0.0000
Balvenie Tun 1509 Batch 4 750ml,Customer Square 1,Whiskey Scotch,0.0000
Banhez Arroqueno 750ml,Customer Square 1,Mezcal,1.0000
Banhez Arroqueno 750ml,Customer Square 3,Mezcal,0.0000
Banhez Arroqueno 750ml,Customer Square 2,Mezcal,2.0000
Banhez Cuishe 750ml,Customer Square 3,Mezcal,0.0000
Banhez Tepeztate 750ml,Customer Square 1,Mezcal,0.0000
Banhez Tobala 750ml,Customer Square 3,Mezcal,0.0000
Banner Vodka 750ml,Customer Square 3,Vodka,3.0000
Bar Keep Fennel Bitters 8oz,Customer Square 1,Bitters,0.0000
Bar Keep Fennel Bitters 8oz,Customer Square 2,Bitters,0.0000
Barbadillo Amontillado Dry Sherry 750ml,Customer Square 3,Fortified,5.0000
Barbadillo Amontillado Dry Sherry 750ml,Customer Square 2,Fortified,4.0000
Barbadillo Fino 750ml,Customer Square 3,Fortified,7.0000
Barbadillo Manzanilla Sherry 750mL,Customer Square 3,Fortified,6.0000
Bare Bone Vodka 1L,Customer Square 2,Vodka,0.0000
Bareksten Gin 750ml,Customer Square 1,Gin,0.0000
Bareksten Gin 750ml,Customer Square 2,Gin,0.0000
Barenjager Honey 1L,Customer Square 1,Liqueur,1.0000
Barenjager Honey 1L,Customer Square 3,Liqueur,2.0000
Barmalade Variety Pack,Customer Square 2,Mixer,0.0000
Barnard Griffin Syrah Port 500ml,Customer Square 3,Fortified,6.0000
Barrell 13y Rum 750ml,Customer Square 2,Rum,0.0000
Barrell 24y Whiskey 750ml,Customer Square 1,Whiskey Bourbon/American,0.0000
Barrell Bourbon #19 750ml,Customer Square 1,Whiskey Bourbon/American,0.0000
Barrell Bourbon #19 750ml,Customer Square 2,Whiskey Bourbon/American,0.0000
Barrell Bourbon 20 750ml,Customer Square 1,Whiskey Bourbon/American,0.0000
Barrell Bourbon 20 750ml,Customer Square 2,Whiskey Bourbon/American,0.0000
Barrell Bourbon 22 750ml,Customer Square 1,Whiskey Bourbon/American,0.0000
Barrell Bourbon 22 750ml,Customer Square 3,Whiskey Bourbon/American,0.0000
Barrell Bourbon 22 750ml,Customer Square 2,Whiskey Bourbon/American,0.0000
Barrell Bourbon 26 750ml,Customer Square 1,Whiskey Bourbon/American,0.0000
Barrell Bourbon 28 750ml,Customer Square 3,Whiskey Bourbon/American,6.0000
Barrell Bourbon 29 750ml,Customer Square 3,Whiskey Bourbon/American,6.0000
Barrell Bourbon 30 750ml,Customer Square 3,Whiskey Bourbon/American,6.0000
Barrell Bourbon 30 750ml,Customer Square 2,Whiskey Bourbon/American,6.0000
Barrell Bourbon 31 750ml,Customer Square 3,Whiskey Bourbon/American,6.0000
Barrell Bourbon 31 750ml,Customer Square 2,Whiskey Bourbon/American,6.0000
Barrell Bourbon Gold Label 750ml,Customer Square 2,Whiskey Bourbon/American,3.0000
Barrell Bourbon Private Release 750ml,Customer Square 3,Whiskey Bourbon/American,3.0000
Barrell Bourbon Store Pick 750ml,Customer Square 1,Whiskey Bourbon/American,1.0000
Barrell Bourbon Store Pick 750ml,Customer Square 2,Whiskey Bourbon/American,0.0000
Barrell Rye Batch 2 750ml,Customer Square 1,Whiskey Rye,0.0000
Barrell Rye Batch 2 750ml,Customer Square 3,Whiskey Rye,0.0000
Barrell Rye Batch 2 750ml,Customer Square 2,Whiskey Rye,0.0000
Barrell Rye Batch 3 750ml,Customer Square 3,Whiskey Rye,0.0000
Barrell Rye Batch 3 750ml,Customer Square 2,Whiskey Rye,0.0000
Barrell Rye L933 750ml,Customer Square 1,Whiskey Rye,0.0000
Barrell Rye L933 750ml,Customer Square 2,Whiskey Rye,0.0000
Barrell Whiskey Team Texas 750ml,Customer Square 3,Whiskey Bourbon/American,0.0000
Barrell Whiskey Vatted Malt 750ml,Customer Square 3,Whiskey American Single Malt,2.0000
