Product,Customer,Count,Mean,Std,Min,Max,25,50,75
Absinthe Fountain Glass 4 Spout,Customer Square 1,1,0.019230769230769232,0.13733516208736252,0,1,0.0,0.0,0.0
Absinthe Fountain Glass 4 Spout,Customer Square 2,1,0.019230769230769232,0.13733516208736252,0,1,0.0,0.0,0.0
Absinthe Fountain Glass 4 Spout,Customer Square 3,0,0.0,0.0,0,0,0.0,0.0,0.0
Absinthe Glass Coupe,Customer Square 1,1,0.038461538461538464,0.27467032417472503,0,2,0.0,0.0,0.0
Absinthe Glass Coupe,Customer Square 2,1,0.019230769230769232,0.13733516208736252,0,1,0.0,0.0,0.0
Absinthe Glass Coupe,Customer Square 3,2,0.038461538461538464,0.1923076923076923,0,1,0.0,0.0,0.0
Absinthe Glass Lyon,Customer Square 1,1,0.019230769230769232,0.13733516208736252,0,1,0.0,0.0,0.0
Absinthe Glass Lyon,Customer Square 2,2,0.057692307692307696,0.30467268303374734,0,2,0.0,0.0,0.0
Absinthe Glass Lyon,Customer Square 3,1,0.019230769230769232,0.13733516208736252,0,1,0.0,0.0,0.0
Absinthe Glass Pontarlier,Customer Square 1,3,0.1346153846153846,0.6210675100751979,0,4,0.0,0.0,0.0
Absinthe Glass Pontarlier,Customer Square 2,1,0.019230769230769232,0.13733516208736252,0,1,0.0,0.0,0.0
Absinthe Glass Pontarlier,Customer Square 3,1,0.019230769230769232,0.13733516208736252,0,1,0.0,0.0,0.0
Absinthe Glass Torsade,Customer Square 1,1,0.038461538461538464,0.27467032417472503,0,2,0.0,0.0,0.0
Absinthe Glass Torsade,Customer Square 2,0,0.0,0.0,0,0,0.0,0.0,0.0
Absinthe Glass Torsade,Customer Square 3,0,0.0,0.0,0,0,0.0,0.0,0.0
Absinthe Ordinaire Liqueur 92 Proof 750ml,Customer Square 1,0,0.0,0.0,0,0,0.0,0.0,0.0
Absinthe Ordinaire Liqueur 92 Proof 750ml,Customer Square 2,1,0.019230769230769232,0.13733516208736252,0,1,0.0,0.0,0.0
Absinthe Ordinaire Liqueur 92 Proof 750ml,Customer Square 3,0,0.0,0.0,0,0,0.0,0.0,0.0
Absinthe Saucer Blue,Customer Square 1,1,0.019230769230769232,0.13733516208736252,0,1,0.0,0.0,0.0
Absinthe Saucer Blue,Customer Square 2,0,0.0,0.0,0,0,0.0,0.0,0.0
Absinthe Saucer Blue,Customer Square 3,0,0.0,0.0,0,0,0.0,0.0,0.0
Absinthe Saucer Lavender,Customer Square 1,0,0.0,0.0,0,0,0.0,0.0,0.0
Absinthe Saucer Lavender,Customer Square 2,0,0.0,0.0,0,0,0.0,0.0,0.0
Absinthe Saucer Lavender,Customer Square 3,1,0.019230769230769232,0.13733516208736252,0,1,0.0,0.0,0.0
Absinthe Saucer Yellow,Customer Square 1,1,0.019230769230769232,0.13733516208736252,0,1,0.0,0.0,0.0
Absinthe Saucer Yellow,Customer Square 2,0,0.0,0.0,0,0,0.0,0.0,0.0
