Action,ProductSKU,ProductName,Location,MinimumBeforeReorder,ReorderQuantity,Stock Locator,PickZones
Create/Update,9024153100432,Batavia Arrack Van Oosten 750ml,Customer Square 1,0,6,,
Create/Update,9780399582530,Batch Cocktails,Customer Square 1,0,2,,
Create/Update,086785500232,Bauchant Napoleon 1L,Customer Square 1,0,6,,
Create/Update,843531100319,Bauer Barig Orange 750ml,Customer Square 1,0,6,,
Create/Update,791090527767,Beach Bum Berrys Zombie Glass 2pk,Customer Square 1,0,12,,
Create/Update,9781941199039,Beachbum Berrys Potions Book,Customer Square 1,0,4,,
Create/Update,9781941199169,Beachbum Berrys Sippin Safari,Customer Square 1,0,4,,
Create/Update,080432106624,Becherovka 750ml,Customer Square 1,0,6,,
Create/Update,089540507590,Beefeater 24 1L,Customer Square 1,0,6,,
Create/Update,089540333489,Beefeater Gin 1L,Customer Square 1,1,12,,
Create/Update,609224885853,Belle Meade Bourbon 750ml,Customer Square 1,0,6,,
Create/Update,602938786669,Belle Meade Reserve Cask 750ml,Customer Square 1,0,6,,
Create/Update,740522100832,Bells Two Hearted Bottles 6 Pack,Customer Square 1,2,4,,
Create/Update,850346005173,Beluga Allure 750ml,Customer Square 1,0,6,,
Create/Update,850346005012,Beluga Noble 1L,Customer Square 1,0,6,,
Create/Update,850346005067,Beluga Noble Gold 750ml,Customer Square 1,0,6,,
Create/Update,087116069688,Belvedere Vodka 750ml,Customer Square 1,0,6,,
Create/Update,5060399680554,BenRiach 10y 750ml,Customer Square 1,0,6,,
Create/Update,081128002053,BenRiach Curiositas 10y 750ml,Customer Square 1,0,6,,
Create/Update,5060716140266,BenRiach The Smoky Twelve 12y 750ml,Customer Square 1,0,6,,
Create/Update,088004020828,Benchmark 175L,Customer Square 1,0,6,,
Create/Update,088004020835,Benchmark 1L,Customer Square 1,1,12,,
Create/Update,088004011093,Benchmark 375ml,Customer Square 1,1,24,,
Create/Update,088004035754,Benchmark 50ml,Customer Square 1,15,120,,
Create/Update,851718000680,Benhams Barrel Finished Gin 750ml,Customer Square 1,0,6,,
Create/Update,851718000697,Benhams Sonoma Dry Gin 750ml,Customer Square 1,0,6,,
Create/Update,751313566140,Beniotome Miyabi Whisky 750ml,Customer Square 1,0,6,,
Create/Update,747020192413,Benromach 10yr 750ml,Customer Square 1,0,6,,
Create/Update,096749941001,Bernheim Wheat Whiskey 750ml,Customer Square 1,0,6,,
Create/Update,761503452511,Berto Aperitiv Tradission 1L,Customer Square 1,0,2,,
Create/Update,761503452498,Berto Aperitivo Liquore 1L,Customer Square 1,0,2,,
Create/Update,761503452580,Berto Bitter Bitter 1L,Customer Square 1,0,2,,
Create/Update,761503452672,Berto Dry Gin 1L,Customer Square 1,0,4,,
Create/Update,761503452566,Berto Extra Secco 1L,Customer Square 1,0,4,,
Create/Update,761503452535,Berto Ross Da Travaj 1L,Customer Square 1,0,4,,
Create/Update,856803003010 ,Better Half Sauvignon Blanc 750ml,Customer Square 1,10,12,,
Create/Update,858666003497,Bico Amarelo Vinho Verde 750ml,Customer Square 1,0,12,,
Create/Update,860000739030,Big Swig Chile Mango 12pk,Customer Square 1,1,5,,
Create/Update,867011000357,Big Swig Grapefruit Cans 12 Pack,Customer Square 1,1,5,,
Create/Update,867011000326,Big Swig Key Lime Cans 12 Pack,Customer Square 1,1,5,,
Create/Update,867011000333,Big Swig Original Cans 12 Pack,Customer Square 1,1,10,,
