,SKU,Product,Customer,Location,Status,Category,OnHand,Quantity,Sale,Unit
182,080480984984,Aberfeldy 18y Exceptional Cask Series 750ml,Customer Square 3,Oak Hill,ACTIVE,Whiskey Scotch,0.0,1.0,214.99,214.99
183,080480984984,Aberfeldy 18y Exceptional Cask Series 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Whiskey Scotch,1.0,,,
184,080480986032,Aberfeldy 18y Pauillac Bordeaux LE 750ml,Customer Square 1,Airport,ACTIVE,Whiskey Scotch,0.0,,,
185,080480986032,Aberfeldy 18y Pauillac Bordeaux LE 750ml,Customer Square 3,Oak Hill,ACTIVE,Whiskey Scotch,1.0,,,
186,080480986032,Aberfeldy 18y Pauillac Bordeaux LE 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Whiskey Scotch,0.0,,,
187,080480985929,Aberfeldy 20y Exceptional Cask Series 750ml,Customer Square 1,Airport,ACTIVE,Whiskey Scotch,0.0,,,
188,080480985929,Aberfeldy 20y Exceptional Cask Series 750ml,Customer Square 3,Oak Hill,ACTIVE,Whiskey Scotch,1.0,,,
189,080480985929,Aberfeldy 20y Exceptional Cask Series 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Whiskey Scotch,2.0,,,
190,080480220013,Aberfeldy 21y 750ml,Customer Square 1,Airport,ACTIVE,Whiskey Scotch,0.0,,,
191,080480220013,Aberfeldy 21y 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Whiskey Scotch,1.0,,,
192,080432102145,Aberlour 12y 750ml,Customer Square 1,Airport,ACTIVE,Whiskey Scotch,1.0,7.0,447.93,63.99
193,080432102145,Aberlour 12y 750ml,Customer Square 3,Oak Hill,ACTIVE,Whiskey Scotch,7.0,1.0,63.99,63.99
194,080432102145,Aberlour 12y 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Whiskey Scotch,4.0,8.0,511.92,63.99
195,080432102169,Aberlour 16y 750ml,Customer Square 1,Airport,ACTIVE,Whiskey Scotch,5.0,2.0,205.98,102.99
196,080432102169,Aberlour 16y 750ml,Customer Square 3,Oak Hill,ACTIVE,Whiskey Scotch,0.0,2.0,205.98,102.99
197,080432102169,Aberlour 16y 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Whiskey Scotch,2.0,3.0,308.97,102.99000000000001
198,080432516171,Aberlour Abunadh 750ml,Customer Square 1,Airport,ACTIVE,Whiskey Scotch,4.0,6.0,659.94,109.99000000000001
199,080432516171,Aberlour Abunadh 750ml,Customer Square 3,Oak Hill,ACTIVE,Whiskey Scotch,0.0,1.0,109.99,109.99
200,080432516171,Aberlour Abunadh 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Whiskey Scotch,5.0,2.0,219.98,109.99
201,080432114612,Aberlour A'bunadh Alba 750ml,Customer Square 1,Airport,ACTIVE,Whiskey Scotch,6.0,1.0,118.99,118.99
202,080432114612,Aberlour A'bunadh Alba 750ml,Customer Square 3,Oak Hill,ACTIVE,Whiskey Scotch,2.0,,,
203,080432114612,Aberlour A'bunadh Alba 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Whiskey Scotch,6.0,2.0,237.98,118.99
204,12301230,Absinthe 4 Leg Brouilleur,Customer Square 1,Airport,ACTIVE,Bar Tools,2.0,,,
205,12301230,Absinthe 4 Leg Brouilleur,Customer Square 3,Oak Hill,ACTIVE,Bar Tools,1.0,,,
206,12301230,Absinthe 4 Leg Brouilleur,Customer Square 2,Pleasant Valley,ACTIVE,Bar Tools,3.0,,,
207,12161216,Absinthe Brouilleur 3 Hole,Customer Square 1,Airport,ACTIVE,Bar Tools,2.0,,,
