Action,ProductSKU,ProductName,Location,MinimumBeforeReorder75,MinimumBeforeReorder85,ReorderQuantity,75Savings,85Savings,Stock Locator,PickZones
Create/Update,835229001404,Absolut Citron 1L,Customer Square 2,0,0,12,59.98,59.98,,
Create/Update,835229010116,Absolut Pride 1L,Customer Square 2,0,0,12,179.94,179.94,,
Create/Update,835229006409,Absolut Vanilla 1L,Customer Square 2,0,0,12,119.96,119.96,,
Create/Update,835229000100,Absolut Vodka 200ml,Customer Square 2,0,0,48,431.52,431.52,,
Create/Update,835229000209,Absolut Vodka 375ml,Customer Square 2,0,1,48,671.52,657.53,,
Create/Update,835229000308,Absolut Vodka 750ml,Customer Square 2,0,0,6,22.99,22.99,,
Create/Update,761503633026,Achard Vincent Clairette Brut 750ml,Customer Square 2,1,2,6,23.99,0.0,,
Create/Update,786992212101,Admiral Rodney Princessa 750ml,Customer Square 2,0,0,1,0.0,0.0,,
Create/Update,786992212170,Admiral Rodney Royal Oak 750ml,Customer Square 2,0,0,1,0.0,0.0,,
Create/Update,854856006507,Agavales Sangrita 1L,Customer Square 2,0,0,4,13.98,13.98,,
Create/Update,0727785006736,Agricola Morandin Lentico Pet Nat 750ml,Customer Square 2,0,1,6,79.96,59.97,,
Create/Update,4969265778634,Akashi Eigashima Japanese Whisky 750ml,Customer Square 2,1,2,6,49.99,0.0,,
Create/Update,4969265778597,Akashi Single Malt 750ml,Customer Square 2,0,0,1,114.99,114.99,,
Create/Update,4969265758834,Akashi Ume 750ml,Customer Square 2,0,0,6,171.96,171.96,,
Create/Update,087229200237,Alessio Bianco 750ml,Customer Square 2,0,0,6,179.94,179.94,,
Create/Update,094922423146,Alessio Chinato Vermouth 750ml,Customer Square 2,0,0,4,67.98,67.98,,
Create/Update,094922423139,Alessio Di Torino Vermouth 750ml,Customer Square 2,0,0,4,55.98,55.98,,
Create/Update,087229200213,Alessio Vino Chinato 750ml,Customer Square 2,0,0,2,81.98,81.98,,
Create/Update,850832004017,Alias Cabernet Sauvignon 750ml,Customer Square 2,5,7,12,-0.0,-21.98,,
Create/Update,850832004000,Alias Pinot Noir 750ml,Customer Square 2,0,0,12,54.95,54.95,,
Create/Update,871952000581,Alipus Aniversario XX Santa Ana 750ml,Customer Square 2,0,0,2,126.99,126.99,,
Create/Update,871952000369,Alipus Ensamble San Andres 750ml,Customer Square 2,1,1,3,74.99,74.99,,
Create/Update,871952000079,Alipus San Andres 750ml,Customer Square 2,2,3,6,45.99,0.0,,
Create/Update,871952000086,Alipus San Baltazar 750ml,Customer Square 2,1,2,6,91.98,45.99,,
Create/Update,871952000048,Alipus San Juan 750ml,Customer Square 2,1,1,6,91.98,91.98,,
Create/Update,871952000161,Alipus San Luis 750ml,Customer Square 2,1,1,6,91.98,91.98,,
Create/Update,871952000178,Alipus San Miguel 750ml,Customer Square 2,1,1,4,74.99,74.99,,
Create/Update,871952000154,Alipus Santa Ana Del Rio 750ml,Customer Square 2,0,0,6,137.97,137.97,,
Create/Update,040232521386,Alkkemist Gin 750ml,Customer Square 2,0,0,6,95.98,95.98,,
Create/Update,852282002964,Altocedro Cabernet Sauvignon 750ml,Customer Square 2,1,1,12,16.99,16.99,,
Create/Update,618115105024,Amargo Vallet 750ml,Customer Square 2,0,0,4,67.98,67.98,,
Create/Update,8018571001625,Amaro Alta Verde 750ml,Customer Square 2,0,0,4,43.98,43.98,,
Create/Update,089552002755,Amaro Dell Etna 1L,Customer Square 2,0,1,6,79.98,39.99,,
Create/Update,8057949760016,Amaro Della Sacra 750ml,Customer Square 2,0,0,6,71.98,71.98,,
Create/Update,075496331938,Amaro Di Angostura 750ml,Customer Square 2,0,0,6,55.98,55.98,,
Create/Update,634955000046,Amaro Lucano 750ml,Customer Square 2,0,0,6,89.97,89.97,,
Create/Update,8018571001588,Amaro Sfumato Rabarbaro 750ml,Customer Square 2,0,1,6,87.96,65.97,,
Create/Update,716898963944,Amaro Sibona 1L,Customer Square 2,0,0,3,86.97,86.97,,
Create/Update,9781607747482,Amaro The Spirited World Of Bittersweet,Customer Square 2,0,0,4,51.98,51.98,,
