SKU,Product,Customer,Location,Status,Category,OnHand,Quantity,Sale,Unit
080480985929,Aberfeldy 20y Exceptional Cask Series 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Whiskey Scotch,2.0,,,
080480220013,Aberfeldy 21y 750ml,Customer Square 2,Pleasant Valley,ACTIVE,Whiskey Scotch,1.0,,,
080432114612,Aberlour A'bunadh Alba 750ml,Customer Square 3,Oak Hill,ACTIVE,Whiskey Scotch,2.0,,,
12301230,Absinthe 4 Leg Brouilleur,Customer Square 1,Airport,ACTIVE,Bar Tools,2.0,,,
12301230,Absinthe 4 Leg Brouilleur,Customer Square 3,Oak Hill,ACTIVE,Bar Tools,1.0,,,
12301230,Absinthe 4 Leg Brouilleur,Customer Square 2,Pleasant Valley,ACTIVE,Bar Tools,3.0,,,
12161216,Absinthe Brouilleur 3 Hole,Customer Square 1,Airport,ACTIVE,Bar Tools,2.0,,,
12161216,Absinthe Brouilleur 3 Hole,Customer Square 3,Oak Hill,ACTIVE,Bar Tools,3.0,,,
12161216,Absinthe Brouilleur 3 Hole,Customer Square 2,Pleasant Valley,ACTIVE,Bar Tools,1.0,,,
13741374,Absinthe Fountain Glass 4 Spout,Customer Square 1,Airport,ACTIVE,Bar Tools,1.0,,,
13811381,Absinthe Fountain Glass Double 1 Spout,Customer Square 3,Oak Hill,ACTIVE,Bar Tools,1.0,,,
13811381,Absinthe Fountain Glass Double 1 Spout,Customer Square 2,Pleasant Valley,ACTIVE,Bar Tools,1.0,,,
13761376,Absinthe Fountain Twisted Glass 2 Spout,Customer Square 3,Oak Hill,ACTIVE,Bar Tools,1.0,,,
12301260,Absinthe Glass Brouilleur,Customer Square 1,Airport,ACTIVE,Bar Tools,2.0,,,
12301260,Absinthe Glass Brouilleur,Customer Square 3,Oak Hill,ACTIVE,Bar Tools,2.0,,,
12301260,Absinthe Glass Brouilleur,Customer Square 2,Pleasant Valley,ACTIVE,Bar Tools,6.0,,,
14601445,Absinthe Glass Cordon,Customer Square 1,Airport,ACTIVE,Glassware,4.0,,,
14601445,Absinthe Glass Cordon,Customer Square 2,Pleasant Valley,ACTIVE,Glassware,8.0,,,
14651465,Absinthe Glass Coupe,Customer Square 1,Airport,ACTIVE,Glassware,7.0,,,
14601460,Absinthe Glass Lyon,Customer Square 2,Pleasant Valley,ACTIVE,Glassware,1.0,,,
14301430,Absinthe Glass Pontarlier,Customer Square 2,Pleasant Valley,ACTIVE,Glassware,9.0,,,
14701470,Absinthe Glass Torsade,Customer Square 2,Pleasant Valley,ACTIVE,Glassware,3.0,,,
123464,Absinthe Saucer Blue,Customer Square 1,Airport,ACTIVE,Bar Tools,3.0,,,
123464,Absinthe Saucer Blue,Customer Square 3,Oak Hill,ACTIVE,Bar Tools,2.0,,,
123464,Absinthe Saucer Blue,Customer Square 2,Pleasant Valley,ACTIVE,Bar Tools,3.0,,,
123465,Absinthe Saucer Green,Customer Square 1,Airport,ACTIVE,Bar Tools,3.0,,,
